"palette_id","source","source_palette","palette_type","max_n","intended_use","recommended_geometry","recommended_background","status","source_order","priority_order","source_url","source_commit","citation","license","derived","source_cvd_claim","notes","audit_min_cie2000","audit_min_contrast_light","audit_min_contrast_dark","audit_date"
"okabe_ito","Okabe-Ito","okabe_ito","qualitative",8,"cell_identity,sample,condition,highlight","point,fill,line","light,dark","recommended","literal vector order in internal palette database","same as source order","https://jfly.uni-koeln.de/color/",,"Okabe and Ito color universal design palette","Publicly documented palette",FALSE,"Designed for common forms of color-vision deficiency.","paired contrast",21.7236656915615,1.32232791121952,1.20659646059254,"2026-08-03"
"tol_bright","Paul Tol","tol_bright","qualitative",7,"cell_identity,sample,condition,highlight","point,fill,line","light,dark","recommended","literal vector order in internal palette database","same as source order","https://personal.sron.nl/~pault/",,"Paul Tol colour schemes","Free for personal and commercial use with attribution",FALSE,"Designed with color-vision deficiencies in mind.","paired contrast",20.662263841568,1.83619213105712,2.85855470787745,"2026-08-03"
"tol_vibrant","Paul Tol","tol_vibrant","qualitative",7,"cell_identity,sample,condition,highlight","point,fill,line","light,dark","recommended","literal vector order in internal palette database","same as source order","https://personal.sron.nl/~pault/",,"Paul Tol colour schemes","Free for personal and commercial use with attribution",FALSE,"Designed with color-vision deficiencies in mind.","",18.3357500919791,1.91979640921671,3.35580183067978,"2026-08-03"
"tol_muted","Paul Tol","tol_muted","qualitative",9,"cell_identity,sample,lineage,heatmap_annotation","point,fill,line","light,dark","recommended","literal vector order in internal palette database","same as source order","https://personal.sron.nl/~pault/",,"Paul Tol colour schemes","Free for personal and commercial use with attribution",FALSE,"Designed with color-vision deficiencies in mind.","",15.0031779903478,1.61812814478058,1.42971342935865,"2026-08-03"
"tol_medium_contrast","Paul Tol","tol_medium_contrast","qualitative",6,"condition,sample,highlight","point,fill,line","light,dark","recommended","literal vector order in internal palette database","same as source order","https://personal.sron.nl/~pault/",,"Paul Tol colour schemes","Free for personal and commercial use with attribution",FALSE,"Designed with color-vision deficiencies in mind.","paired contrast",25.0977346021571,1.55966421005554,1.8086938429667,"2026-08-03"
"glasbey32","Glasbey et al.","glasbey32","qualitative",32,"cell_identity,sample,heatmap_annotation","point,fill,line","light,dark","provenance_review","literal vector order in internal palette database","same as source order","https://doi.org/10.1002/col.20327",,"Glasbey et al. (2007), Color Research and Application 32:304-309","Palette provenance review",FALSE,"No universal CVD-safety claim.","High-cardinality; perceptual distinction decreases as n grows.",10.3670691444246,1.11099256622212,1.00249863484316,"2026-08-03"
"polychrome36","Polychrome","polychrome36","qualitative",36,"cell_identity,sample,heatmap_annotation","point,fill,line","light,dark","provenance_review","literal vector order in internal palette database","same as source order","https://doi.org/10.18637/jss.v090.c01",,"Coombes et al. (2019), Journal of Statistical Software 90, Code Snippet 1","GPL-2",FALSE,"No universal CVD-safety claim.","High-cardinality; combine color with redundant encodings.",6.81632712670782,1.2927355644993,1.95320595371098,"2026-08-03"
"ditto40","dittoSeq","ditto40","qualitative",40,"cell_identity,sample,heatmap_annotation","point,fill,line","light,dark","recommended","literal vector order in internal palette database","same as source order","https://github.com/dtm2451/dittoSeq/blob/master/R/dittoColors.R",,"Bunis et al. (2020), Bioinformatics 36:5535-5536","MIT",TRUE,"Only the first seven are the strongest red-green CVD-aware subset.","Entries 8-40 are grey and lighter/darker extensions; not fully CVD safe.",1.95455075333985,1.18941315958771,1.60227697484558,"2026-08-03"
"chromatic","scChromatic","chromatic","qualitative",40,"cell_identity,sample,lineage,heatmap_annotation","point,fill,line","light,dark","recommended","literal vector order in internal palette database","frozen nested maximin order; each prefix is stable","https://github.com/xie186/scChromatic",,"scChromatic package authors","GPL (>= 3)",TRUE,"Perceptually optimized and audited; no universal CVD-safety claim.","Frozen nested maximin sequence generated in HCL with normal/CVD diagnostics.",6.44696971843369,1.73638326902302,2.67719411597057,"2026-08-03"
"chromatic_balance","scChromatic","chromatic_balance","diverging",256,"signed_score","point,fill,line","light,dark","recommended","literal vector order in internal palette database","same as source order","https://github.com/xie186/scChromatic",,"Zeileis et al. (2020), Journal of Statistical Software 96:1","GPL (>= 3)",TRUE,"Audited under common CVD simulations; no universal CVD-safety claim.","Frozen HCL-derived anchors generated with colorspace::diverging_hcl; blue is negative, neutral is zero, and red is positive.",9.24861977840617,1.12949085942332,2.23733843968498,"2026-08-03"
