"palette_id","source","source_palette","palette_type","max_n","intended_use","recommended_geometry","recommended_background","status","source_order","priority_order","source_url","source_version","source_commit","source_sha256","citation","license","derived","source_cvd_claim","notes","audit_min_cie2000","audit_min_cie2000_deutan","audit_min_cie2000_protan","audit_min_cie2000_tritan","audit_min_contrast_light","audit_min_contrast_dark","audit_n","audit_basis","audit_method","audit_date"
"okabe_ito","khroma","okabeito","qualitative",8,"cell_identity,sample,condition,highlight","point,fill,line","light,dark","recommended","exact hexadecimal order of the pinned package object","source order with black moved from first to last","https://cran.r-project.org/src/contrib/khroma_1.17.0.tar.gz","khroma 1.17.0",,"40ba0f49e19710453fce918d1e036c4fcb6c7d3a70186236b8ad6b9f777c180f","Okabe and Ito color universal design palette; khroma 1.17.0","GPL (>= 3) (khroma 1.17.0)",TRUE,"Designed for common forms of color-vision deficiency.","Black is moved from first to last in priority order; paired contrast.",21.7236656915615,11.5176322607581,12.2621964343958,11.1330331220972,1.32232791121952,1.20659646059254,8,"stored priority-order reference vector","CIEDE2000 via farver 2.1.2; CVD simulation via colorspace 2.1.3","2026-08-04"
"tol_bright","khroma","bright","qualitative",7,"cell_identity,sample,condition,highlight","point,fill,line","light,dark","recommended","exact hexadecimal order of the pinned package object","same as source order","https://cran.r-project.org/src/contrib/khroma_1.17.0.tar.gz","khroma 1.17.0",,"40ba0f49e19710453fce918d1e036c4fcb6c7d3a70186236b8ad6b9f777c180f","Paul Tol colour schemes; khroma 1.17.0","GPL (>= 3) (khroma 1.17.0)",FALSE,"Designed with color-vision deficiencies in mind.","paired contrast",20.662263841568,14.7326355365291,14.0452535492703,8.65965443679245,1.83619213105712,2.85855470787745,7,"stored priority-order reference vector","CIEDE2000 via farver 2.1.2; CVD simulation via colorspace 2.1.3","2026-08-04"
"tol_vibrant","khroma","vibrant","qualitative",7,"cell_identity,sample,condition,highlight","point,fill,line","light,dark","recommended","exact hexadecimal order of the pinned package object","same as source order","https://cran.r-project.org/src/contrib/khroma_1.17.0.tar.gz","khroma 1.17.0",,"40ba0f49e19710453fce918d1e036c4fcb6c7d3a70186236b8ad6b9f777c180f","Paul Tol colour schemes; khroma 1.17.0","GPL (>= 3) (khroma 1.17.0)",FALSE,"Designed with color-vision deficiencies in mind.","",18.3357500919791,14.4501532966262,13.8142614596292,8.56778777137228,1.91979640921671,3.35580183067978,7,"stored priority-order reference vector","CIEDE2000 via farver 2.1.2; CVD simulation via colorspace 2.1.3","2026-08-04"
"tol_muted","khroma","muted","qualitative",9,"cell_identity,sample,lineage,heatmap_annotation","point,fill,line","light,dark","recommended","exact hexadecimal order of the pinned package object","same as source order","https://cran.r-project.org/src/contrib/khroma_1.17.0.tar.gz","khroma 1.17.0",,"40ba0f49e19710453fce918d1e036c4fcb6c7d3a70186236b8ad6b9f777c180f","Paul Tol colour schemes; khroma 1.17.0","GPL (>= 3) (khroma 1.17.0)",FALSE,"Designed with color-vision deficiencies in mind.","",15.0031779903478,14.0339016463571,11.8259434753511,11.64974566395,1.61812814478058,1.42971342935865,9,"stored priority-order reference vector","CIEDE2000 via farver 2.1.2; CVD simulation via colorspace 2.1.3","2026-08-04"
"tol_medium_contrast","khroma","mediumcontrast","qualitative",6,"condition,sample,highlight","point,fill,line","light,dark","recommended","exact hexadecimal order of the pinned package object","source colors reordered into adjacent light/dark contrast pairs","https://cran.r-project.org/src/contrib/khroma_1.17.0.tar.gz","khroma 1.17.0",,"40ba0f49e19710453fce918d1e036c4fcb6c7d3a70186236b8ad6b9f777c180f","Paul Tol colour schemes; khroma 1.17.0","GPL (>= 3) (khroma 1.17.0)",TRUE,"Designed for medium-contrast color pairs.","Priority order is rearranged for adjacent light/dark pair contrast.",25.0977346021571,20.1503489317898,16.6706300186933,12.0807035402348,1.55966421005554,1.8086938429667,6,"stored priority-order reference vector","CIEDE2000 via farver 2.1.2; CVD simulation via colorspace 2.1.3","2026-08-04"
"glasbey32","Polychrome","glasbey","qualitative",32,"cell_identity,sample,heatmap_annotation","point,fill,line","light,dark","compatibility","exact hexadecimal order of the pinned package object","source order with white moved from first to last","https://cran.r-project.org/src/contrib/Polychrome_1.6.1.tar.gz","Polychrome 1.6.1",,"4213cfb6247b58153d3668ea09a2691e99939cb2618ba322c80f95894acac58c","Glasbey et al. (2007), Color Research and Application 32:304-309; Polychrome 1.6.1","Apache-2.0 (Polychrome 1.6.1)",TRUE,"No universal CVD-safety claim.","Exact Polychrome glasbey object; white is moved from first to last in priority order. High-cardinality distinction decreases as n grows.",10.3670691444246,2.32747649431009,2.626959328228,3.95227117159643,1,1.00249863484316,32,"stored priority-order reference vector","CIEDE2000 via farver 2.1.2; CVD simulation via colorspace 2.1.3","2026-08-04"
"polychrome36","Polychrome","palette36","qualitative",36,"cell_identity,sample,heatmap_annotation","point,fill,line","light,dark","compatibility","exact hexadecimal order of the pinned package object","same as source order","https://cran.r-project.org/src/contrib/Polychrome_1.6.1.tar.gz","Polychrome 1.6.1",,"4213cfb6247b58153d3668ea09a2691e99939cb2618ba322c80f95894acac58c","Coombes et al. (2019), Journal of Statistical Software 90, Code Snippet 1; Polychrome 1.6.1","Apache-2.0 (Polychrome 1.6.1)",FALSE,"No universal CVD-safety claim.","Exact Polychrome palette36 object; combine color with redundant encodings.",6.81632712670782,0.667961823141575,0.438537374642339,3.72493612131312,1.2927355644993,1.95320595371098,36,"stored priority-order reference vector","CIEDE2000 via farver 2.1.2; CVD simulation via colorspace 2.1.3","2026-08-04"
"ditto40","dittoSeq","dittoColors","qualitative",40,"cell_identity,sample,heatmap_annotation","point,fill,line","light,dark","recommended","exact hexadecimal order of the pinned package object","same as source order","https://bioconductor.org/packages/3.23/bioc/src/contrib/dittoSeq_1.24.0.tar.gz","dittoSeq 1.24.0",,"5c08274913e93158a9660507d50f5e79d4facbe01ab745e4fee0cd703e13454e","Bunis et al. (2020), Bioinformatics 36:5535-5536; dittoSeq 1.24.0","MIT (dittoSeq 1.24.0)",FALSE,"Only the first seven are the strongest red-green CVD-aware subset.","Entries 8-40 are grey and lighter/darker extensions; not fully CVD safe.",1.95455075333985,0.792377800726483,0.39221731063941,0.563239350414679,1.18941315958771,1.60227697484558,40,"stored priority-order reference vector","CIEDE2000 via farver 2.1.2; CVD simulation via colorspace 2.1.3","2026-08-04"
"chromatic","scChromatic","chromatic","qualitative",40,"cell_identity,sample,lineage,heatmap_annotation","point,fill,line","light,dark","recommended","deterministically regenerated by data-raw/generate-owned-palettes.R","frozen nested maximin order; each prefix is stable","https://github.com/xie186/scChromatic",,,,"scChromatic package authors","GPL (>= 3)",TRUE,"Perceptually optimized and audited; no universal CVD-safety claim.","Frozen nested maximin sequence generated in HCL with normal/CVD diagnostics.",6.44696971843369,3.7497741554065,3.87929106979529,3.87764582307558,1.73638326902302,2.67719411597057,40,"stored priority-order reference vector","CIEDE2000 via farver 2.1.2; CVD simulation via colorspace 2.1.3","2026-08-04"
"chromatic_balance","scChromatic","chromatic_balance","diverging",256,"signed_score","point,fill,line","light,dark","recommended","deterministically regenerated by data-raw/generate-owned-palettes.R","same as source order","https://github.com/xie186/scChromatic",,,,"Zeileis et al. (2020), Journal of Statistical Software 96:1","GPL (>= 3)",TRUE,"Audited under common CVD simulations; no universal CVD-safety claim.","Frozen HCL-derived anchors generated with colorspace::diverging_hcl; blue is negative, neutral is zero, and red is positive.",9.24861977840617,6.87652142516099,7.11851947345311,9.118483115923,1.12949085942332,2.23733843968498,11,"stored priority-order reference vector","CIEDE2000 via farver 2.1.2; CVD simulation via colorspace 2.1.3","2026-08-04"
